step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
114,0.0,0.0,31.94152732691738,27.59367718794097,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,31.98120350517385,27.59882427555978,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,32.02082876063266,27.60397104413418,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,32.06040322592158,27.6091174924397,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,32.099927033144596,27.61426361925608,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,32.139400313884686,27.61940942336719,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,32.17882319920663,27.624554903561062,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,32.21819581965977,27.6297000586298,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,32.25751830528074,27.634844887369567,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,32.29679078559621,27.639989388580563,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,32.33601338962557,27.645133561066956,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,32.37518624588365,27.650277403636917,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,32.41430948238335,27.65542091510253,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,32.45338322663836,27.660564094279763,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,32.49240760566572,27.665706939988503,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,32.531382745988495,27.670849451052437,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,32.570308773638345,27.675991626299115,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,32.609185814158124,27.681133464559842,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,32.64801399260445,27.686274964669703,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,32.68679343355023,27.691416125467523,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,32.72552426108723,27.696556945795844,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,32.76420659882856,27.701697424500885,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,32.80284056991119,27.706837560432533,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,32.84142629699844,27.711977352444332,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,32.87996390228242,27.717116799393413,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,32.9184535074865,27.722255900140524,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,32.95689523386775,27.727394653549972,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,32.99528920221934,27.732533058489615,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,33.033635532872964,27.737671113830846,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,33.071934345701216,27.742808818448555,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,33.11018576011996,27.747946171221113,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,33.14838989509069,27.753083171030372,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,33.18654686912286,27.75821981676161,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,33.22465680027623,27.76335610730354,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,33.26271980616316,27.768492041548278,0.0,0.0,0.0,0.0,0.0
