label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,340,39.820532695332645,28.7468316378703,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,345,39.974096560104186,28.772075622492522,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,350,40.12690612976478,28.79730652360153,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,-2.1684876116978553e-16,0.0
Fixed-clean VIFD,355,40.27896889131352,28.822524263120098,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,360,40.43029222105375,28.847728764088284,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,365,40.58088338679044,28.87291995065008,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,370,40.73074954997232,28.89809774804034,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,375,40.87989776778032,28.923262082571803,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,380,41.02833499516413,28.94841288162236,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,385,41.17606808682829,28.97355007362253,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,390,41.32310379916931,28.998673588043033,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,395,41.46944879216543,29.023783355382598,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,400,41.61510963122017,29.048879307155936,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,405,41.760092788961266,29.073961375881872,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,410,41.904404646996134,29.09902949507159,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,415,42.04805149762524,29.12408359921713,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,420,42.19103954551453,29.149123623779968,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,425,42.33337490932809,29.17414950517976,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,430,42.47506362332226,29.199161180783232,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,435,42.61611163890217,29.224158588893264,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,440,42.75652482614195,29.249141668738023,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
